PLOT,X_NAD83,Y_NAD83
B-01-03,522385,2813225
B-01-07,524394,2812179
B-02-02,525433,2808246
B-02-04,526393,2808207
B-02-05,527489,2806438
B-02-07,528345,2807219
B-03-01,523480,2800352
B-03-03,524439,2800361
B-03-04,524436,2799379
B-07-01,523326,2814290
B-07-02,524432,2814361
B-07-03,523900,2813351
B-07-04,524424,2813249
B-07-06,523397,2812236
B-08-01,526367,2807205
B-08-02,526683,2805321
B-11-10,522476,2799312
B-12-05,522442,2814156
B-12-06,522530,2812136
B-14-01,527374,2807213
B-14-02,525389,2807179
B-14-03,526437,2806276
F-01-03,540249,2827107
F-03-05,540235,2825066
M2-00000,537477,2838897
M2-00500,537030,2839126
M2-01000,536584,2839356
M2-01500,536142,2839586
M2-02000,535705,2839782
M2-02500,535251,2840044
M3-01500,541088,2825337
M3-02100,540491,2825283
M3-03000,539594,2825201
M3-03300,539085,2825387
M3-04500,538454,2826029
M3-04800,538244,2826243
M3-05100,538034,2826457
M3-14500,531136,2832793
M3-15000,530724,2833076
M3-15500,530301,2833366
M3-15800,530056,2833541
M3-16000,529896,2833659
M3-16300,529653,2833834
M4-09300,517623,2815361
M4-09800,517279,2815755
M4-10300,516968,2816123
M4-10800,516647,2816503
M4-11300,516328,2816887
M4-11800,515994,2817260
M5-06900,522693,2800848
M5-08100,523858,2801134
M5-09000,524733,2801349
CP_02_3,535410,2838320
CP_03_3,535998,2837992
CP_04_3,536884,2837667
CP_05_3,529048,2832363
CP_06_3,529759,2831906
CP_07_3,530464,2831474
CP_08_3,516878,2817606
CP_09_3,517494,2817125
CP_10_3,517981,2816511
CP_11_2,522653,2800228
CP_12_3,523499,2799431
